Category,City,Fax,Tel,Description,CompanyName,URL,Country,Zipcode,State,Contact,Products,Address,YearEstablished,Email,Geolocation
 Grocery Stores and Supermarkets,Sand Point,907.383-5233 / +1-907.383-5233,907-383-5233 / +1-907-383-5233,,Shumagin Distributors Shumagin Distributors,http://www.usbizs.com/AK/Sand_Point/Shumagin_Distributors_5kJ.html,United States,99661,Alaska,," African Goods-Retail - 599948, Grocers-Retail - 541105",,,,"40,-98"
 Real Estate Brokers,Fort Richardson,907.376-5471 / +1-907.376-5471,907-376-2414 / +1-907-376-2414,,Prudential Jack White Vista Real Estate - 351 W Parks HWY Wasilla AK Prudential Jack White Vista Real Estate - 351 W Parks HWY Wasilla AK,http://www.usbizs.com/AK/Fort_Richardson/Prudential_Jack_White_Vista_Real_Estate_351_W_Parks_HWY_Wasilla_AK_1qD.html,United States,99505,Alaska,," Attorneys, Real Estate",351 W Parks Highway Wasilla Ak,,,"40,-98"
" Marine Cargo and Freight, Marine Professionals and Services, Marine Surveyors and Adjustors",Nikiski,,907-776-5882 / +1-907-776-5882,,SGS Commercial Testing & Engineering SGS Commercial Testing & Engineering,http://www.usbizs.com/AK/Nikiski/SGS_Commercial_Testing_Engineering_tT.html,United States,99635,Alaska,," Inspection Service - 738996, Surveyors-Marine - 449901",,,,"40,-98"
 Real Estate Brokers,Fort Richardson,,907-562-6464 / +1-907-562-6464,,Prudential Jack White Real Estate Prudential Jack White Real Estate,http://www.usbizs.com/AK/Fort_Richardson/Prudential_Jack_White_Real_Estate_1qC.html,United States,99505,Alaska,," Attorneys, Real Estate",Prudential Jack Whit,,,"40,-98"
 Mental Health Practitioners,Nikiski,,907-283-9306 / +1-907-283-9306,,Peninsula Mental Health Peninsula Mental Health,http://www.usbizs.com/AK/Nikiski/Peninsula_Mental_Health_AV.html,United States,99635,Alaska,," Associations - 861102, Mental Health Services - 806301",,,,"40,-98"
 MANUFACTURERS: DISTRIBUTOR,Nikiski,(907) 776-8105 / +1-(907) 776-8105,(907) 776-5111 / +1-(907) 776-5111, Oil Field System Service,"Udelhoven Oilfield System Services, Inc. Udelhoven Oilfield System Services, Inc.",http://www.usbizs.com/AK/Nikiski/Udelhoven_Oilfield_System_Services_Inc_sm.html,United States,99635,Alaska,, Oil & Gas Well Management Services,1/4 Mile 25 Nikiski Dock Rd.,,,"40,-98"
" Cell Phone Equipment and Supplies, Cell Phone Repair and Installation, Cell Phones, Wireless Communications",Dutch Harbor,907.581-4587 / +1-907.581-4587,907-581-4555 / +1-907-581-4555,,Bristol Bay Cellular Partnership Bristol Bay Cellular Partnership,http://www.usbizs.com/AK/Dutch_Harbor/Bristol_Bay_Cellular_Partnership_3ar.html,United States,99692,Alaska," Brenda, Ferrer - Manager", Cellular Telephones-Equipment & Supls - 599902,1530 E Point Road,,,"40,-98"
" Canoe and Kayak Dealers, Canoe and Kayak Equipment and Supplies, Life Preservers Rafts and Floats, Marine Equipment and Supplies Retail, Outdoor Sports and Recreation, Water Sports, Water Sports Equipment and Supplies Dealers, Water Transportation",Dutch Harbor,907.581-2850 / +1-907.581-2850,907-581-2677 / +1-907-581-2677,,Ocean Safety Services Ocean Safety Services,http://www.usbizs.com/AK/Dutch_Harbor/Ocean_Safety_Services_31m.html,United States,99692,Alaska," Frank, Miner - Manager", Life Preservers - 555115,2663 Airport Beach Road,,,"40,-98"
 Campgrounds and RV Parks,Sterling,,907-262-7998 / +1-907-262-7998,,Higher Ground Baptist Bible Camp Higher Ground Baptist Bible Camp,http://www.usbizs.com/AK/Sterling/Higher_Ground_Baptist_Bible_Camp_2YI.html,United States,99672,Alaska,," Campgrounds - 703301, Mobile Homes-Parks & Communities - 651501",39920 Higher Ground,,,"40,-98"
 Campgrounds and RV Parks,Sterling,,907-262-7219 / +1-907-262-7219,,Cast Away Riverside Rv Park Cast Away Riverside Rv Park,http://www.usbizs.com/AK/Sterling/Cast_Away_Riverside_Rv_Park_2Yn.html,United States,99672,Alaska," Chuck, Lockner - Owner", Campgrounds - 703301,36430 Stephens Drive,,chuck@goingnorth.com,"40,-98"
